marque,annee,prix_de_vente,kilometrage,carburant,type_vendeur,transmission,proprietaire,consommation,moteur,puissance,nb_sieges
Chevrolet,12,1351,100000,Essence,Individuel,Manuel,Deuxième,18.0,995,62.0,5.0
Honda,7,6463,56494,Essence,Autre connexion,Manuel,Premier,18.2,1199,88.7,5.0
Mahindra,8,14100,10000,Diesel,Individuel,Manuel,Premier,15.1,2179,140.0,7.0
Maruti,5,7931,23000,Diesel,Individuel,Manuel,Premier,28.4,1248,74.0,5.0
Maruti,5,6463,30000,Essence,Individuel,Manuel,Premier,21.4,1197,83.1,5.0
Mahindra,10,5875,70000,Diesel,Individuel,Manuel,Premier,15.96,2523,63.0,9.0
Hyundai,8,3290,60000,Essence,Individuel,Manuel,Deuxième,21.1,814,55.2,5.0
Hyundai,7,4994,30000,Essence,Individuel,Manuel,Premier,18.9,1197,82.0,5.0
Maruti,7,6592,30000,Diesel,Individuel,Manuel,Premier,26.59,1248,74.0,5.0
Maruti,7,3525,5000,Essence,Individuel,Manuel,Premier,22.74,796,47.3,5.0
Hyundai,9,5405,110000,Diesel,Individuel,Manuel,Deuxième,24.8,1396,88.7,5.0
Maruti,6,7461,120000,Essence,Individuel,Automatique,Premier,21.21,1197,81.8,5.0
Chevrolet,8,2350,50000,Essence,Individuel,Manuel,Premier,18.2,1199,82.4,5.0
Autres,5,34075,15000,Diesel,Concessionnaire,Automatique,Premier,18.25,1968,187.74,5.0
Maruti,7,9400,70000,Diesel,Individuel,Manuel,Premier,24.3,1248,88.5,5.0
Autres,8,4113,60000,Essence,Individuel,Manuel,Troisième,15.8,1172,67.1,5.0
Tata,11,3055,46000,Diesel,Individuel,Manuel,Premier,19.4,1405,70.0,5.0
Maruti,6,6698,120000,Diesel,Individuel,Manuel,Premier,26.59,1248,74.0,5.0
Toyota,12,3525,72000,Essence,Concessionnaire,Manuel,Premier,17.6,1496,88.7,5.0
Hyundai,5,6756,15000,Essence,Individuel,Automatique,Premier,17.36,1197,81.86,5.0
Mahindra,10,5875,120000,Diesel,Individuel,Manuel,Troisième,15.96,2523,62.1,9.0
Toyota,10,8813,79328,Diesel,Autre connexion,Manuel,Deuxième,12.99,2494,100.6,7.0
Maruti,6,4113,35000,Essence,Individuel,Manuel,Premier,15.37,1196,73.0,7.0
Toyota,9,5064,120000,Diesel,Individuel,Manuel,Premier,23.59,1364,67.04,5.0
Nissan,9,2644,100000,Essence,Individuel,Manuel,Premier,19.49,1198,67.04,5.0
Maruti,6,3231,58000,Essence,Individuel,Manuel,Premier,24.7,796,47.3,5.0
Maruti,15,1410,70000,Essence,Individuel,Manuel,Troisième,19.7,796,46.3,5.0
Tata,5,15275,35000,Diesel,Individuel,Manuel,Premier,17.6,2179,153.86,7.0
Mahindra,7,4700,100000,Essence,Individuel,Manuel,Premier,18.15,1198,82.0,5.0
Maruti,8,5288,100000,Diesel,Individuel,Manuel,Premier,25.2,1248,73.94,5.0
Mahindra,9,5053,120000,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,7.0
Maruti,5,9988,64000,Essence,Concessionnaire,Manuel,Premier,20.65,1462,103.25,5.0
Tata,8,5910,110000,Diesel,Individuel,Manuel,Premier,14.1,2179,147.94,7.0
Mahindra,5,14100,50000,Diesel,Individuel,Manuel,Premier,17.3,1497,121.0,7.0
Hyundai,12,2644,80000,Essence,Individuel,Manuel,Deuxième,19.81,1086,68.05,5.0
Mahindra,10,2350,300000,Diesel,Individuel,Manuel,Premier,14.0,2498,112.0,8.0
Maruti,6,5992,20000,Essence,Individuel,Manuel,Premier,22.0,1197,81.8,5.0
Maruti,12,2350,80000,GNC,Individuel,Manuel,Premier,36.82,998,67.1,5.0
Toyota,7,22619,27000,Diesel,Concessionnaire,Manuel,Premier,13.68,2393,147.51,7.0
Tata,13,2761,100000,Diesel,Individuel,Manuel,Deuxième,13.93,2179,138.1,7.0
Ford,13,2938,80000,Essence,Individuel,Manuel,Deuxième,15.6,1196,70.0,5.0
Hyundai,9,5170,70000,Diesel,Individuel,Manuel,Deuxième,22.54,1396,88.73,5.0
Datsun,7,2350,35000,Essence,Individuel,Manuel,Premier,22.7,799,53.64,5.0
Tata,8,4113,90000,Diesel,Individuel,Manuel,Deuxième,23.0,1248,88.7,5.0
Maruti,7,4700,20000,Essence,Individuel,Manuel,Deuxième,20.51,998,67.04,5.0
Hyundai,5,7638,10000,Essence,Individuel,Automatique,Deuxième,18.9,1197,81.86,5.0
Tata,10,2350,150000,Diesel,Individuel,Manuel,Premier,19.09,1396,69.0,5.0
Maruti,7,11750,70000,Diesel,Individuel,Manuel,Premier,24.52,1248,88.5,7.0
Tata,10,2585,80000,Diesel,Individuel,Manuel,Premier,23.03,1396,69.0,5.0
Mercedes-Benz,6,31725,16000,Essence,Concessionnaire,Automatique,Premier,14.74,1991,181.04,5.0
Jaguar,6,37600,45000,Diesel,Concessionnaire,Automatique,Premier,19.33,1999,177.0,5.0
Chevrolet,10,2056,56315,Diesel,Individuel,Manuel,Premier,25.44,936,57.6,5.0
BMW,4,61100,10000,Diesel,Concessionnaire,Automatique,Premier,18.12,1995,190.0,5.0
Maruti,12,1586,110048,Essence,Individuel,Manuel,Troisième,20.92,998,67.1,5.0
Toyota,7,24675,40000,Essence,Individuel,Automatique,Premier,10.75,2694,163.7,7.0
Hyundai,6,7403,30000,Essence,Individuel,Manuel,Premier,18.6,1197,81.83,5.0
Mahindra,9,7344,70000,Diesel,Individuel,Automatique,Deuxième,11.79,2179,120.0,8.0
Mahindra,13,3525,166000,Diesel,Individuel,Manuel,Troisième,12.05,2179,120.0,8.0
Hyundai,6,6169,10000,Essence,Individuel,Manuel,Premier,18.9,1197,81.86,5.0
Mahindra,8,5581,128000,Diesel,Individuel,Manuel,Troisième,15.96,2523,63.0,9.0
Chevrolet,9,5288,80000,Diesel,Individuel,Manuel,Deuxième,18.2,1248,73.8,7.0
Honda,5,9165,30000,Essence,Individuel,Manuel,Premier,17.5,1199,88.7,5.0
Honda,4,9153,7032,Essence,Autre connexion,Automatique,Premier,19.0,1199,88.76,5.0
Toyota,14,5288,71000,Essence,Concessionnaire,Automatique,Premier,12.1,2362,164.7,5.0
Mahindra,11,5288,100000,Diesel,Individuel,Manuel,Premier,14.0,2523,75.0,8.0
Hyundai,12,2244,70000,GPL,Individuel,Manuel,Premier,18.83,1086,62.1,5.0
Tata,6,4465,28000,Essence,Individuel,Manuel,Deuxième,23.84,1199,84.0,5.0
Maruti,11,4876,108000,Diesel,Individuel,Manuel,Premier,23.4,1248,74.0,5.0
Maruti,4,12044,9850,Diesel,Individuel,Automatique,Premier,24.3,1248,88.5,5.0
Autres,4,60513,20000,Essence,Concessionnaire,Automatique,Premier,22.37,2487,214.56,5.0
Hyundai,5,6698,20000,Essence,Individuel,Manuel,Premier,18.9,1197,81.86,5.0
Hyundai,6,6991,30030,Essence,Concessionnaire,Manuel,Premier,18.6,1197,81.83,5.0
Hyundai,5,9400,25000,Essence,Individuel,Automatique,Premier,17.4,1197,81.86,5.0
Maruti,8,7038,70000,Essence,Individuel,Manuel,Premier,16.02,1373,93.7,7.0
Hyundai,11,3525,41000,Essence,Individuel,Manuel,Deuxième,20.36,1197,78.9,5.0
Mahindra,10,5405,120000,Diesel,Individuel,Manuel,Deuxième,13.5,2609,115.0,5.0
Toyota,14,6463,250000,Diesel,Individuel,Manuel,Premier,12.8,2494,102.0,7.0
Tata,5,5158,25000,Essence,Individuel,Manuel,Premier,23.84,1199,84.0,5.0
Maruti,18,1528,120000,Essence,Individuel,Manuel,Deuxième,16.1,1298,88.2,5.0
Renault,7,2938,41000,Essence,Individuel,Manuel,Premier,25.17,799,53.3,5.0
Tata,8,2938,20000,Essence,Individuel,Automatique,Premier,21.9,624,37.48,4.0
Hyundai,11,5170,80000,Diesel,Individuel,Manuel,Deuxième,22.32,1582,126.32,5.0
Tata,10,1998,120000,Diesel,Individuel,Manuel,Deuxième,17.88,1405,48.21,5.0
Maruti,10,4230,97000,Diesel,Individuel,Manuel,Premier,22.9,1248,74.0,5.0
Mahindra,14,4465,120000,Diesel,Individuel,Manuel,Deuxième,12.05,2179,120.0,7.0
Maruti,10,4406,88200,Diesel,Individuel,Manuel,Premier,23.2,1248,73.94,5.0
Honda,8,7050,28161,Essence,Concessionnaire,Manuel,Premier,17.8,1497,117.3,5.0
Volkswagen,11,3408,80000,Essence,Individuel,Manuel,Deuxième,16.47,1198,73.9,5.0
Maruti,5,10563,35000,Diesel,Individuel,Manuel,Premier,25.1,1248,88.5,5.0
Ford,11,2644,87237,Diesel,Concessionnaire,Manuel,Deuxième,20.0,1399,68.05,5.0
Maruti,13,3525,22000,Essence,Individuel,Manuel,Premier,15.0,1586,104.68,5.0
Hyundai,6,6463,10000,Essence,Individuel,Automatique,Premier,18.9,1197,81.86,5.0
Maruti,5,5640,20375,Essence,Concessionnaire,Manuel,Premier,20.89,1197,81.8,5.0
Ford,5,8225,19100,Essence,Individuel,Manuel,Premier,19.0,1194,94.68,5.0
Renault,9,5640,80000,Diesel,Individuel,Manuel,Premier,20.45,1461,83.8,5.0
Hyundai,9,7050,125000,Diesel,Individuel,Manuel,Premier,22.32,1582,126.32,5.0
Hyundai,10,5405,60000,Diesel,Individuel,Manuel,Deuxième,21.27,1396,88.76,5.0
Maruti,7,5288,5800,Essence,Individuel,Manuel,Deuxième,20.51,998,67.04,5.0
Mahindra,7,7414,92385,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,7.0
Autres,8,5288,120000,Diesel,Individuel,Manuel,Premier,20.5,1248,91.72,5.0
Hyundai,12,3114,20000,Essence,Individuel,Automatique,Premier,16.95,1197,78.9,5.0
Mahindra,7,7344,90000,Diesel,Individuel,Manuel,Deuxième,15.96,2523,62.1,7.0
Tata,5,9400,85000,Diesel,Individuel,Manuel,Deuxième,21.5,1497,108.5,5.0
Mahindra,7,7050,70000,Diesel,Individuel,Manuel,Premier,15.96,2523,63.0,9.0
Tata,8,6110,120000,Diesel,Individuel,Manuel,Premier,11.57,2179,138.1,7.0
Mahindra,5,7638,6000,Essence,Individuel,Manuel,Premier,18.15,1198,82.0,6.0
Maruti,18,1293,90000,Essence,Individuel,Manuel,Deuxième,19.7,796,46.3,5.0
Hyundai,9,7050,100000,Diesel,Individuel,Manuel,Quatrième,22.54,1396,88.73,5.0
Volkswagen,6,7344,34000,Diesel,Individuel,Automatique,Premier,22.0,1498,108.495,5.0
Maruti,4,4230,25000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Volkswagen,11,4113,40000,Diesel,Individuel,Manuel,Premier,20.54,1598,103.6,5.0
Maruti,9,4700,70000,Essence,Individuel,Manuel,Deuxième,19.1,1197,85.8,5.0
Mahindra,12,2820,116000,Diesel,Individuel,Manuel,Premier,14.0,2498,112.0,7.0
Tata,10,2233,120000,Diesel,Individuel,Manuel,Deuxième,22.3,1248,74.0,5.0
Mahindra,11,8813,120000,Diesel,Individuel,Manuel,Premier,12.05,2179,120.0,8.0
Mahindra,15,2938,120000,Diesel,Individuel,Manuel,Premier,13.6,2523,63.0,8.0
Mahindra,7,8460,35000,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,7.0
Hyundai,10,4994,101000,Diesel,Concessionnaire,Manuel,Premier,21.9,1396,88.76,5.0
Toyota,8,4547,170000,Diesel,Individuel,Manuel,Premier,23.59,1364,67.04,5.0
Maruti,15,1998,120000,Diesel,Individuel,Manuel,Troisième,17.8,1248,75.0,5.0
Maruti,5,7990,28000,Essence,Individuel,Automatique,Premier,21.21,1197,81.8,5.0
Hyundai,8,5288,53000,Diesel,Individuel,Manuel,Premier,24.0,1120,70.0,5.0
Hyundai,6,7050,5000,Essence,Individuel,Manuel,Premier,20.14,1197,81.86,5.0
Maruti,24,529,100000,Essence,Individuel,Manuel,Troisième,17.3,993,60.0,5.0
Skoda,11,4994,90000,Diesel,Individuel,Manuel,Premier,20.5,1598,103.5,5.0
Datsun,6,2820,35000,Essence,Individuel,Manuel,Premier,22.5,999,67.0,5.0
Hyundai,8,6169,50000,Essence,Individuel,Manuel,Premier,17.19,1197,81.86,5.0
Mahindra,9,5640,37000,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,7.0
Volvo,6,117500,30000,Essence,Individuel,Automatique,Premier,42.0,1969,400.0,4.0
Tata,12,1410,70000,Essence,Individuel,Manuel,Deuxième,15.2,1193,65.0,5.0
Ford,15,1598,200185,Essence,Individuel,Manuel,Premier,16.6,1388,68.0,5.0
Ford,5,7931,60000,Diesel,Individuel,Manuel,Premier,24.4,1498,98.63,5.0
Autres,10,3525,82500,Diesel,Individuel,Manuel,Premier,20.3,1248,75.0,5.0
Toyota,8,9165,129000,Diesel,Individuel,Manuel,Troisième,21.43,1364,87.2,5.0
Maruti,13,2526,120000,Diesel,Individuel,Manuel,Troisième,19.3,1248,73.9,5.0
Skoda,9,7520,65000,Diesel,Individuel,Manuel,Deuxième,21.14,1498,103.52,5.0
Hyundai,11,5111,57000,Essence,Concessionnaire,Manuel,Premier,17.7,1497,113.42,5.0
Maruti,6,8813,51000,Essence,Concessionnaire,Automatique,Premier,19.56,1197,81.8,5.0
Volkswagen,10,5170,75000,Diesel,Individuel,Manuel,Deuxième,22.07,1199,73.9,5.0
Jaguar,6,31854,9000,Diesel,Concessionnaire,Automatique,Premier,13.6,1999,177.0,5.0
Maruti,9,2468,70000,Essence,Individuel,Manuel,Premier,20.92,998,67.1,5.0
Mahindra,11,3643,86000,Diesel,Individuel,Manuel,Premier,14.0,2498,112.0,8.0
Maruti,13,2550,120000,Diesel,Individuel,Manuel,Premier,21.1,1248,73.9,5.0
Toyota,16,7050,260000,Diesel,Individuel,Manuel,Troisième,12.8,2494,102.0,7.0
Nissan,9,3760,91000,Diesel,Individuel,Manuel,Quatrième,22.71,1461,84.8,5.0
Hyundai,10,5288,50000,Essence,Individuel,Manuel,Troisième,17.01,1591,121.3,5.0
Tata,4,14688,15000,Diesel,Individuel,Manuel,Premier,17.6,2179,147.94,7.0
Maruti,8,8225,120000,Diesel,Individuel,Manuel,Deuxième,20.77,1248,88.76,7.0
Maruti,5,5405,5000,Essence,Individuel,Manuel,Premier,20.51,998,67.04,5.0
Maruti,10,2468,50000,Essence,Individuel,Manuel,Deuxième,22.74,796,47.3,5.0
Tata,16,2938,80000,Diesel,Individuel,Manuel,Deuxième,11.57,2179,138.1,7.0
Maruti,5,7050,69779,Essence,Concessionnaire,Automatique,Premier,22.0,1197,81.8,5.0
Honda,8,4817,60000,Diesel,Individuel,Manuel,Premier,25.8,1498,98.6,5.0
Maruti,7,8883,70000,Diesel,Individuel,Manuel,Deuxième,24.52,1248,88.5,7.0
Volkswagen,4,7520,10000,Essence,Concessionnaire,Manuel,Premier,17.0,1198,73.75,5.0
Maruti,13,1704,70000,Essence,Individuel,Manuel,Deuxième,20.92,998,67.1,5.0
Honda,16,3819,70000,Essence,Individuel,Automatique,Deuxième,10.1,2354,152.0,5.0
Chevrolet,14,705,110000,Essence,Individuel,Manuel,Troisième,16.5,995,63.0,5.0
Renault,6,10340,65000,Diesel,Individuel,Manuel,Premier,19.98,1461,108.5,8.0
Mahindra,5,17214,110000,Diesel,Individuel,Manuel,Premier,16.36,2179,140.0,7.0
Hyundai,9,5299,91000,Diesel,Individuel,Manuel,Premier,22.54,1396,88.73,5.0
Hyundai,5,6345,7000,Essence,Concessionnaire,Manuel,Premier,20.3,1086,68.0,5.0
Maruti,8,4465,20000,GNC,Individuel,Manuel,Premier,30.716,1196,61.7,5.0
Maruti,14,1528,40000,Essence,Individuel,Manuel,Premier,16.1,796,37.0,4.0
Maruti,11,4113,70000,Diesel,Individuel,Manuel,Deuxième,21.5,1248,88.8,5.0
Honda,6,9988,103000,Diesel,Concessionnaire,Manuel,Premier,25.6,1498,97.9,5.0
Maruti,18,823,188000,Essence,Individuel,Manuel,Quatrième,18.9,998,67.1,5.0
Mahindra,8,13219,70000,Diesel,Individuel,Manuel,Premier,15.4,2179,120.0,7.0
Maruti,9,5111,110000,Diesel,Individuel,Manuel,Deuxième,23.4,1248,74.0,5.0
Maruti,7,8813,80000,Diesel,Individuel,Manuel,Premier,28.09,1248,88.5,5.0
Mahindra,12,4700,100000,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,9.0
Renault,7,3055,80000,Essence,Individuel,Manuel,Premier,25.17,799,53.3,5.0
Maruti,7,4994,120000,Diesel,Individuel,Manuel,Troisième,26.59,1248,74.0,5.0
Tata,11,705,45000,Essence,Individuel,Manuel,Premier,25.4,624,38.0,4.0
Chevrolet,7,8813,67600,Diesel,Individuel,Automatique,Premier,14.81,1998,163.7,5.0
Tata,7,4348,90000,Diesel,Individuel,Manuel,Premier,19.09,1405,69.01,5.0
Hyundai,5,5875,120000,Essence,Individuel,Manuel,Premier,18.9,1197,81.86,5.0
Toyota,17,5053,264000,Diesel,Individuel,Manuel,Premier,12.8,2494,102.0,8.0
Tata,8,5910,110000,Diesel,Individuel,Manuel,Premier,14.1,2179,147.94,7.0
Maruti,9,2350,43381,Essence,Concessionnaire,Manuel,Deuxième,22.74,796,47.3,5.0
Hyundai,6,7050,15000,Essence,Individuel,Manuel,Premier,17.19,1197,81.86,5.0
Hyundai,8,6463,160000,Diesel,Individuel,Manuel,Deuxième,22.54,1396,88.73,5.0
Toyota,12,8225,120000,Diesel,Individuel,Manuel,Deuxième,12.8,2494,102.0,8.0
Maruti,7,4406,120000,Essence,Individuel,Manuel,Premier,15.37,1196,73.0,5.0
Toyota,11,4829,110000,Diesel,Concessionnaire,Manuel,Premier,23.59,1364,67.04,5.0
Honda,10,3643,100000,Diesel,Individuel,Manuel,Premier,25.8,1498,98.6,5.0
Nissan,12,2938,110000,Essence,Individuel,Manuel,Premier,16.95,1498,97.7,5.0
Toyota,8,22325,130000,Diesel,Individuel,Automatique,Premier,12.55,2982,168.5,7.0
Mahindra,12,2115,190000,Diesel,Individuel,Manuel,Troisième,19.2,1461,65.0,5.0
Hyundai,9,5053,80000,Diesel,Individuel,Manuel,Deuxième,24.0,1120,70.0,5.0
Tata,14,1410,120000,Diesel,Individuel,Manuel,Premier,17.0,1405,71.0,5.0
Hyundai,15,1351,55000,Essence,Individuel,Manuel,Deuxième,13.9,1599,103.2,5.0
Maruti,5,8578,4773,Essence,Concessionnaire,Manuel,Premier,22.0,1197,81.8,5.0
Hyundai,9,2644,60000,Essence,Individuel,Manuel,Deuxième,20.36,1197,78.9,5.0
Nissan,8,3525,71717,Essence,Individuel,Automatique,Deuxième,19.34,1198,76.0,5.0
Maruti,11,4888,90000,Diesel,Individuel,Manuel,Deuxième,22.9,1248,74.0,5.0
Honda,4,8108,1303,Essence,Concessionnaire,Manuel,Premier,17.8,1198,86.7,5.0
Hyundai,6,5288,56290,Diesel,Concessionnaire,Manuel,Premier,24.0,1186,73.97,5.0
Toyota,13,11163,426000,Diesel,Individuel,Manuel,Premier,12.8,2494,102.0,7.0
Maruti,5,9341,41779,Essence,Concessionnaire,Manuel,Premier,21.21,1197,81.8,5.0
Hyundai,5,3995,120000,Essence,Individuel,Manuel,Premier,20.3,998,68.05,5.0
Hyundai,9,4113,100000,Diesel,Individuel,Manuel,Premier,24.0,1120,70.0,5.0
Maruti,8,6051,36600,Essence,Individuel,Manuel,Premier,20.4,1197,81.8,5.0
Mahindra,3,7978,5000,Diesel,Individuel,Manuel,Premier,0.0,2523,70.0,2.0
Chevrolet,12,3408,82500,Diesel,Individuel,Manuel,Deuxième,16.52,1991,123.7,5.0
Maruti,5,8695,38817,Diesel,Concessionnaire,Manuel,Premier,27.39,1248,74.0,5.0
Autres,6,48175,17000,Essence,Individuel,Automatique,Premier,9.5,3604,280.0,5.0
Honda,6,8460,30000,Essence,Individuel,Manuel,Premier,17.5,1199,88.7,5.0
Jaguar,6,31854,9000,Diesel,Concessionnaire,Automatique,Premier,13.6,1999,177.0,5.0
Maruti,11,1175,70000,Essence,Individuel,Manuel,Deuxième,16.1,796,37.0,4.0
Maruti,16,1058,70000,Essence,Individuel,Manuel,Premier,18.2,998,67.1,5.0
Mahindra,4,8343,30000,Diesel,Individuel,Manuel,Premier,15.96,2523,62.1,7.0
Hyundai,11,4113,110000,Diesel,Individuel,Manuel,Troisième,23.0,1396,90.0,5.0
Skoda,4,9811,10000,Essence,Individuel,Automatique,Premier,14.84,1598,103.2,5.0
Toyota,6,7344,25538,Essence,Autre connexion,Manuel,Premier,16.78,1496,88.73,5.0
Maruti,19,705,113000,Essence,Individuel,Manuel,Deuxième,19.7,796,46.3,5.0
Renault,7,2996,30000,Essence,Individuel,Manuel,Troisième,25.17,799,53.3,5.0
Chevrolet,8,5100,120000,Diesel,Individuel,Manuel,Premier,13.58,2499,72.4,10.0
Skoda,4,8519,25000,Essence,Individuel,Manuel,Premier,15.41,1598,103.2,5.0
Toyota,6,7344,25538,Essence,Autre connexion,Manuel,Premier,16.78,1496,88.73,5.0
Honda,4,15275,20000,Essence,Individuel,Automatique,Premier,17.4,1497,117.6,5.0
Maruti,4,7638,5621,Essence,Autre connexion,Automatique,Premier,22.0,1197,81.8,5.0
Mercedes-Benz,5,29963,18000,Essence,Concessionnaire,Automatique,Premier,15.04,1991,183.0,5.0
Volkswagen,12,2644,90000,Diesel,Individuel,Manuel,Premier,20.54,1598,103.6,5.0
Maruti,4,10458,9000,Diesel,Individuel,Manuel,Premier,24.3,1248,88.5,5.0
Maruti,11,3995,24300,Essence,Concessionnaire,Manuel,Premier,21.21,1197,81.8,5.0
Hyundai,6,7050,19000,Essence,Individuel,Manuel,Premier,17.19,1197,81.86,5.0
Ford,11,6474,170000,Diesel,Individuel,Manuel,Premier,13.1,2499,141.0,7.0
Tata,5,5288,90000,Diesel,Individuel,Manuel,Premier,27.28,1047,69.0,5.0
Hyundai,5,7520,20000,Essence,Individuel,Manuel,Premier,20.14,1197,81.86,5.0
Mahindra,16,2820,80000,Diesel,Individuel,Manuel,Deuxième,13.6,2523,63.0,7.0
Hyundai,11,2938,44588,Essence,Concessionnaire,Manuel,Premier,21.1,814,55.2,5.0
Maruti,16,1387,110000,Essence,Individuel,Manuel,Deuxième,19.7,796,46.3,5.0
Toyota,6,7344,25538,Essence,Autre connexion,Manuel,Premier,16.78,1496,88.73,5.0
Skoda,7,7755,78010,Diesel,Concessionnaire,Automatique,Premier,21.66,1498,103.52,5.0
Maruti,9,2585,100000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Maruti,4,5288,10000,GNC,Individuel,Manuel,Premier,30.716,1196,61.7,5.0
Ford,4,8460,10000,Essence,Individuel,Manuel,Premier,19.0,1194,94.68,5.0
Maruti,13,2468,200000,Essence,Individuel,Manuel,Premier,17.5,1197,85.8,5.0
Ford,5,10575,44772,Diesel,Concessionnaire,Manuel,Deuxième,23.0,1498,98.96,5.0
Maruti,6,4348,140000,GNC,Individuel,Manuel,Premier,30.716,1196,61.7,5.0
Hyundai,15,1351,95200,Essence,Individuel,Manuel,Troisième,13.2,1495,94.0,5.0
Mahindra,4,18213,28000,Diesel,Individuel,Manuel,Premier,15.1,2179,152.87,7.0
BMW,4,63450,7500,Diesel,Concessionnaire,Automatique,Premier,16.78,1995,190.0,5.0
Maruti,4,7931,10000,Essence,Individuel,Manuel,Premier,21.21,1197,81.8,5.0
Maruti,26,588,110000,Essence,Individuel,Manuel,Deuxième,16.1,796,37.0,4.0
Mahindra,16,2526,105000,Diesel,Individuel,Manuel,Deuxième,13.6,2523,63.0,7.0
Hyundai,5,6228,60000,Diesel,Individuel,Manuel,Premier,25.4,1186,73.97,5.0
Ford,9,5875,130000,Diesel,Individuel,Manuel,Deuxième,22.77,1498,98.59,5.0
Mercedes-Benz,6,31725,23000,Diesel,Concessionnaire,Automatique,Premier,17.9,2143,136.0,5.0
Maruti,8,3678,68203,Essence,Concessionnaire,Manuel,Premier,21.79,998,67.05,5.0
Maruti,6,3878,50000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Maruti,15,2350,147000,Diesel,Individuel,Manuel,Deuxième,19.3,1248,73.9,5.0
Chevrolet,9,3525,51000,Essence,Individuel,Manuel,Premier,18.2,1199,82.5,5.0
Autres,8,8225,20000,Diesel,Individuel,Manuel,Premier,20.4,1248,91.7,5.0
Honda,10,5229,100000,Diesel,Individuel,Manuel,Premier,25.8,1498,98.6,5.0
Honda,14,2938,105000,Essence,Individuel,Automatique,Deuxième,12.9,1799,130.0,5.0
BMW,4,63450,7500,Diesel,Concessionnaire,Automatique,Premier,16.78,1995,190.0,5.0
Datsun,8,2644,71850,Essence,Individuel,Manuel,Premier,20.63,1198,67.0,5.0
Ford,8,6463,138000,Diesel,Individuel,Manuel,Premier,22.77,1498,98.59,5.0
Honda,7,6756,55161,Essence,Concessionnaire,Manuel,Premier,17.8,1497,117.3,5.0
Toyota,10,7344,39000,Essence,Concessionnaire,Automatique,Premier,14.28,1798,138.03,5.0
Maruti,5,5546,30000,Essence,Individuel,Automatique,Premier,20.51,998,67.0,5.0
Maruti,6,7461,40000,Diesel,Individuel,Manuel,Premier,26.59,1248,74.0,5.0
Maruti,9,6228,90000,Diesel,Individuel,Manuel,Premier,22.9,1248,74.0,5.0
Nissan,6,5875,26000,Essence,Individuel,Automatique,Premier,19.34,1198,76.0,5.0
BMW,4,64625,8500,Diesel,Concessionnaire,Automatique,Premier,16.78,1995,190.0,5.0
Maruti,27,470,32000,Essence,Individuel,Manuel,Deuxième,16.1,796,37.0,4.0
Hyundai,12,2761,60000,Essence,Individuel,Manuel,Deuxième,20.36,1197,78.9,5.0
Ford,8,7168,90000,Diesel,Individuel,Manuel,Premier,22.77,1498,98.59,5.0
Mahindra,10,5875,115717,Diesel,Individuel,Manuel,Premier,12.05,2179,120.0,9.0
Mahindra,12,4583,120000,Diesel,Individuel,Manuel,Quatrième,13.6,2523,63.0,7.0
Maruti,5,4583,10000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Maruti,5,7050,60000,Diesel,Individuel,Manuel,Premier,27.39,1248,74.0,5.0
Toyota,13,6051,200000,Diesel,Individuel,Manuel,Premier,12.8,2494,102.0,7.0
Hyundai,11,2644,110000,Essence,Individuel,Manuel,Premier,19.81,1086,68.05,5.0
Renault,6,3525,30000,Essence,Individuel,Manuel,Premier,23.01,999,67.0,5.0
Maruti,8,4230,40000,Essence,Individuel,Manuel,Deuxième,23.1,998,67.04,5.0
Maruti,10,3525,90000,Essence,Individuel,Manuel,Deuxième,18.9,998,67.1,5.0
Chevrolet,11,1457,40000,Essence,Individuel,Manuel,Deuxième,18.6,1199,79.4,5.0
Tata,8,7050,60000,Diesel,Individuel,Manuel,Premier,13.93,2179,138.03,7.0
Maruti,8,3114,67000,Essence,Individuel,Manuel,Premier,23.95,998,67.05,5.0
Hyundai,7,6768,35000,Essence,Individuel,Manuel,Premier,18.6,1197,81.83,5.0
Maruti,8,7050,7967,Essence,Individuel,Manuel,Premier,20.85,1197,83.14,5.0
Mahindra,8,6874,50000,Diesel,Individuel,Manuel,Premier,16.55,2498,105.0,7.0
Renault,11,3525,100000,Diesel,Individuel,Manuel,Troisième,23.08,1461,63.12,5.0
Maruti,11,1939,60000,GNC,Individuel,Manuel,Deuxième,42.644,796,47.3,5.0
Ford,8,7050,63000,Diesel,Individuel,Manuel,Premier,22.77,1498,98.59,5.0
Toyota,9,4935,120000,Diesel,Individuel,Manuel,Premier,23.59,1364,67.04,5.0
Hyundai,6,7638,8000,Essence,Individuel,Manuel,Premier,18.6,1197,81.83,5.0
Maruti,5,11750,70000,Diesel,Individuel,Manuel,Premier,25.1,1248,88.5,5.0
Hyundai,7,10575,110000,Diesel,Individuel,Manuel,Premier,19.67,1582,126.2,5.0
Maruti,9,4113,50000,Essence,Individuel,Manuel,Premier,18.5,1197,85.8,5.0
